"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",서대문구,천연동,7602,16593,7817,8776,16401,7712,8689,192,105,87
"합계",서대문구,홍제1동,11141,24624,11467,13157,24359,11351,13008,265,116,149
"합계",서대문구,홍제3동,7928,17466,8288,9178,17276,8211,9065,190,77,113
"합계",서대문구,홍제2동,5233,12015,5587,6428,11926,5555,6371,89,32,57
"합계",서대문구,홍은1동,10282,23366,11183,12183,23125,11098,12027,241,85,156
"합계",서대문구,홍은2동,12797,28464,13483,14981,27448,13111,14337,1016,372,644
"합계",서대문구,남가좌1동,6124,16751,7982,8769,16519,7891,8628,232,91,141
"합계",서대문구,남가좌2동,13263,30309,14262,16047,28604,13698,14906,1705,564,1141
"합계",서대문구,북가좌1동,6742,17447,8332,9115,17319,8277,9042,128,55,73
"합계",서대문구,북가좌2동,14459,30246,14520,15726,29814,14345,15469,432,175,257
"합계",서대문구,충현동,9953,19767,9418,10349,19271,9203,10068,496,215,281
"합계",서대문구,북아현동,7034,15499,7456,8043,15140,7312,7828,359,144,215
"합계",서대문구,신촌동,15144,28190,10351,17839,20312,8643,11669,7878,1708,6170
"합계",서대문구,연희동,18635,36828,17022,19806,33329,15785,17544,3499,1237,2262
"합계",마포구,소계,180519,370282,170553,199729,358523,166399,192124,11759,4154,7605
"합계",마포구,용강동,9246,21492,10021,11471,21110,9832,11278,382,189,193
"합계",마포구,대흥동,8628,16300,7447,8853,14261,6811,7450,2039,636,1403
"합계",마포구,염리동,7705,17652,8214,9438,16770,7978,8792,882,236,646
"합계",마포구,신수동,10032,22308,10800,11508,21933,10658,11275,375,142,233
"합계",마포구,서교동,15091,25968,11449,14519,23589,10730,12859,2379,719,1660
"합계",마포구,합정동,9001,16158,7335,8823,15767,7185,8582,391,150,241
"합계",마포구,망원1동,10036,18808,8665,10143,18468,8520,9948,340,145,195
"합계",마포구,망원2동,8195,17507,8086,9421,17261,7999,9262,246,87,159
